Evaluating ./philosophers...
gcc -Wall -Werror -pthread -g prod_conso_TAS.c -o prod_conso_TAS -lpthread
gcc -Wall -Werror -pthread -g prod_conso_TATAS.c -o prod_conso_TATAS -lpthread
gcc -Wall -Werror -pthread -g readers_writers.c -o readers_writers -lpthread
gcc -Wall -Werror -pthread -g readers_writers_TAS.c -o readers_writers_TAS -lpthread
gcc -Wall -Werror -pthread -g readers_writers_TATAS.c -o readers_writers_TATAS -lpthread
gcc -Wall -Werror -pthread -g    tests/test-and-set.c   -o tests/test-and-set
gcc -Wall -Werror -pthread -g    tests/test-and-test-and-set.c   -o tests/test-and-test-and-set
gcc -Wall -Werror -pthread -g    tests/test_sem.c   -o tests/test_sem
arnaud@arnaud-VirtualBox:~/Downloads/SystInfo/LINFO1252_Projet1$ ./experiments.sh 
Compiling programs...
make: Nothing to be done for 'all'.
Evaluating ./prod_conso_TATAS...
Program: ./prod_conso_TATAS | Threads: 2 | Run: 1 | Time: 1.332705291 seconds
Program: ./prod_conso_TATAS | Threads: 2 | Run: 2 | Time: 1.373141523 seconds
Program: ./prod_conso_TATAS | Threads: 2 | Run: 3 | Time: 1.368628858 seconds
Program: ./prod_conso_TATAS | Threads: 2 | Run: 4 | Time: 1.325865538 seconds
